This is a training script for a diffusion model on brain MRI slices. It discovers thin subjects, preprocesses volumes, builds a disk cache of slices, and trains a UNet-based diffusion model using PyTorch and W&B for logging.
/workspace/Brats/venv/lib/python3.12/site-packages/nibabel/optpkg.py:104: UserWarning: A NumPy version >=1.22.4 and <2.3.0 is required for this version of SciPy (detected version 2.4.3)
  pkg = __import__(name, fromlist=fromlist)
<frozen importlib._bootstrap_external>:1297: FutureWarning: The cuda.cudart module is deprecated and will be removed in a future release, please switch to use the cuda.bindings.runtime module instead.
21:56:41 | INFO | Log file : /workspace/Brats/logs/train_base_model_20260404_215641.log
21:56:41 | INFO | Data root: /workspace/Brats/brain_only
21:56:41 | INFO | Device   : cuda | PyTorch: 2.11.0+cu128
21:56:48 | INFO | Cache index found, skipping build...
21:56:49 | INFO | Dataset: 39063 slices
21:56:49 | INFO | Dataset: 4729 slices
21:56:49 | INFO | Train subjects: 204 | slices: 39063 | batches/epoch: 4882
21:56:49 | INFO | Val   subjects: 25   | slices: 4729   | batches/epoch: 592
21:56:49 | INFO | Total params: 42.86 M
21:56:49 | INFO | Schedulers ready.
21:56:49 | INFO | N_EPOCHS: 100 | LR: 0.0001 | Batch: 8
wandb: [wandb.login()] Loaded credentials for https://api.wandb.ai from WANDB_API_KEY.
wandb: Currently logged in as: rahul23082001jha to https://api.wandb.ai. Use `wandb login --relogin` to force relogin
wandb: setting up run pkp0qkmj
wandb: Tracking run with wandb version 0.25.1
wandb: Run data is saved locally in /workspace/Brats/wandb/run-20260404_215651-pkp0qkmj
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run light-firefly-10
wandb: ⭐️ View project at https://wandb.ai/rahul23082001jha/Brats
wandb: 🚀 View run at https://wandb.ai/rahul23082001jha/Brats/runs/pkp0qkmj
21:56:58 | INFO | W&B run: https://wandb.ai/rahul23082001jha/Brats/runs/pkp0qkmj
22:24:04 | INFO | E0003 | step 3100/4882 | loss=0.00433 | grad=0.056 | t=[110,898]
22:24:16 | INFO | E0003 | step 3200/4882 | loss=0.00676 | grad=0.052 | t=[64,766]
22:24:27 | INFO | E0003 | step 3300/4882 | loss=0.00109 | grad=0.026 | t=[232,704]
22:24:39 | INFO | E0003 | step 3400/4882 | loss=0.00197 | grad=0.036 | t=[87,914]
22:24:51 | INFO | E0003 | step 3500/4882 | loss=0.00233 | grad=0.025 | t=[31,972]
22:25:03 | INFO | E0003 | step 3600/4882 | loss=0.01048 | grad=0.030 | t=[30,719]
22:25:14 | INFO | E0003 | step 3700/4882 | loss=0.00225 | grad=0.043 | t=[105,903]
22:25:26 | INFO | E0003 | step 3800/4882 | loss=0.00201 | grad=0.015 | t=[58,902]
22:25:38 | INFO | E0003 | step 3900/4882 | loss=0.00266 | grad=0.077 | t=[97,929]
22:25:50 | INFO | E0003 | step 4000/4882 | loss=0.00179 | grad=0.038 | t=[107,950]
22:26:01 | INFO | E0003 | step 4100/4882 | loss=0.00458 | grad=0.023 | t=[26,663]
22:26:13 | INFO | E0003 | step 4200/4882 | loss=0.00097 | grad=0.050 | t=[283,972]
22:26:25 | INFO | E0003 | step 4300/4882 | loss=0.00104 | grad=0.053 | t=[305,879]
22:26:37 | INFO | E0003 | step 4400/4882 | loss=0.00563 | grad=0.060 | t=[51,809]
22:26:48 | INFO | E0003 | step 4500/4882 | loss=0.00361 | grad=0.039 | t=[72,684]
22:27:00 | INFO | E0003 | step 4600/4882 | loss=0.01161 | grad=0.045 | t=[9,991]
22:27:12 | INFO | E0003 | step 4700/4882 | loss=0.00071 | grad=0.019 | t=[201,836]
22:27:24 | INFO | E0003 | step 4800/4882 | loss=0.00110 | grad=0.014 | t=[265,921]
22:27:33 | INFO | E0003 | step 4882/4882 | loss=0.00820 | grad=0.032 | t=[18,552]
22:27:59 | INFO | Epoch 0003/100 | train=0.00428 | val=0.02090 | best=0.02230 (e2) | lr=9.98e-05 | steps=4882/4882 | VRAM=0.8/13.5GB | time=598.6s
22:27:59 | INFO |   ★ New best val=0.02090 at epoch 3
22:28:00 | INFO |   Checkpoint saved → diffusion_best_e0003.pt
22:28:24 | INFO |   Uploaded to W&B
22:28:36 | INFO | E0004 | step 0100/4882 | loss=0.00590 | grad=0.032 | t=[74,827]
22:28:47 | INFO | E0004 | step 0200/4882 | loss=0.00264 | grad=0.034 | t=[91,951]
